Key,Description,Detailed Description,Descrizione,Source
investmentproject,Investment (project),Activities flagged as investment comprise a) schemes to increase and/or improve the recipient’s stock of physical capital and b) financing the supply of goods and services in support of such schemes. Most activities assigned the “investment” flag are classified as type of aid C01 “Project-type interventions”,Iniziative il cui scopo è quello di aumentare e/o migliorare lo stock di capitale fisico del beneficiario.,Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 305
geography,Reported targeted geographic area,"Geographical target area helps to identify a specific activity in the recipient country. The expected starting and completion dates allow identification of activities being implemented at any point of time. Specify the area (town, region) in the recipient country that is intended to benefit from the activity. Specify the recipient countries if the activity benefits several recipients. Maximum 100 characters.",Localizzazione dell'intervento.,Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 299
bi_multi,List of codes used to determine the character of resource flows (bilateral or multilateral).,,"Codici che definiscono i canali di erogazione delle risorse:              1=bilaterale e multibilaterale
2=multilaterale
3=bilaterale, core contributions a ONG ed altri Partenariati Pubblico-Privati
7=bilaterale, rendicontazioni ex-post sulle attività finanziate con contributi al bilancio di ONG",http://www.oecd.org/investment/stats/dacandcrscodelists.htm
flowcode,"List of codes used to distinguish official development assistance, other official flows and private flows.",,"Codici che definiscono l'origine (pubblica o privata) e la concessionalità (dono/credito agevolato o credito a condizioni di mercato) dei fondi:                                                                           10=ODA
20=OOF
30=ONG private ed altre fonti private (fondi a dono)
35= Prestiti a termini di mercato
40= Non flussi (e.g. PIL)
50= altri flussi (es. componente non-ODA di operazioni di pacificazione)",http://www.oecd.org/investment/stats/dacandcrscodelists.htm
grantelement,,"The grant element reflects the financial terms of a transaction: interest rate, maturity (interval to final repayment) and grace period (interval to first repayment of capital). It is a measure of the concessionality (softness) of a loan. It is calculated as the difference between the face value of a loan and the discounted present value of the service payments the borrower will make over the lifetime of the loan, expressed as a percentage of the face value","Valore in percentuale, derivato da specifica formula che indica il grado di concessionalità di un credito. E' calcolato come la differenza tra il valore nominale del credito e il valore attuale (in base a un tasso di sconto predeterminato) dei rimborsi che il Paese beneficiario si impegna ad effettuare nel corso degli anni, espressa in termini percentuali rispetto al valore nominale.  Il tasso di concessionalità di un finanziamento a dono è pari a 100.",http://stats.oecd.org/glossary/detail.asp?ID=3799
numberrepayment,Number of repayments per annum year,,"Numero di rate di ripagamento di un credito (capitale e/o interessi) previste in un anno:                                                                       1=annuale 
2=semestrale 
4=trimestrale 
12=mensile",
commitment_national,,"(i) A commitment is a firm written obligation by a government or official agency, backed by the appropriation or availability of the necessary funds, to provide resources of a specified amount under specified financial terms and conditions and for specified purposes for the benefit of a recipient country or a multilateral agency. (ii) Only currency codes listed against each DAC Member in Annex 13 can be used. Commitments extended in the currencies of developing countries should be converted before reporting.","Impegno formale a finanziare la realizzazione di progetti espresso in questa colonna, per l'Italia, in Euro. Gli impegni sono formalizzati contabilmente con appositi decreti, che vincolano l'importo di ciascun finanziamento ai rispettivi progetti.",Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 90 (i) and 312 (ii)
disbursement_national,,"(i) A disbursement is the placement of resources at the disposal of a recipient country or agency, or in the case of internal development-related expenditures, the outlay of funds by the official sector. (ii) Only currency codes listed against each DAC Member in Annex 13 can be used. Commitments extended in the currencies of developing countries should be converted before reporting.","Erogazione di risorse per la realizzazione di progetti espresso in questa colonna, per l'Italia, in Euro",Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 94 (i) and 312 (ii)
expectedstartdate,,,data di inizio,
completiondate,,,data di fine,
commitmentdate,,The commitment date is requested for each new commitment (grant or non-grant).,data di impegno dei fondi,Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 280
usd_commitment,,,Fondi impegnati nella valuta indicata (usd = dollari usa) in milioni,
usd_disbursement,,,Fondi erogati nella valuta indicata (usd = dollari usa)  in milioni,
channelcode,Channel code. List of major channels of delivery codes and names.                             Parent Channel codes are :                                                                                         10000 Public sector institutions                                                                                      20000 NGOs and Civil Society                                                                 30000 Public-Private Partnerships and networks                                                                        40000 Multilateral Organizations                                                                 50000 Others,"The channel of delivery is the first implementing partner. It is the entity that has implementing responsibility over the funds and is normally linked to the extending agency by a contract or other binding agreement, and is directly accountable to it. Where several levels of implementation are involved (e.g. when the extending agency hires a national implementer which in turn may hire a local implementer), report the first level of implementation as the channel of delivery. Where activities have several implementers, the principal implementer should be reported (e.g. the entity receiving the most funding). In the case of loans, report the borrower (i.e. the first entity outside the donor country that receives the funds)","Tipologia di enti attraverso cui sono erogati i fondi (agenzie Onu, istituzioni pubbliche, università, ong ...).                                              Sono raggruppati in 5 Macrogruppi:                                                              10000 Istituzioni del settore pubblico (del donatore, del beneficiario e cooperazione delegata)                                                                           20000 ONG e società civile                                                                 30000 Partenariati pubblico-privati e network                                                                        40000 Organismi internazionali multilaterali                                                                 50000 Altri",Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 117 e dettagli http://www.oecd.org/investment/stats/dacandcrscodelists.htm
channelreportedname,Reported implementing agency,"The (reported) channel of delivery is the first implementing partner. It is the entity that has implementing responsibility over the funds and is normally linked to the extending agency by a contract or other binding agreement, and is directly accountable to it. Where several levels of implementation are involved (e.g. when the extending agency hires a national implementer which in turn may hire a local implementer), report the first level of implementation as the channel of delivery. Where activities have several implementers, the principal implementer should be reported (e.g. the entity receiving the most funding). In the case of loans, report the borrower (i.e. the first entity outside the donor country that receives the funds)","Ente che a seguito di atto formale (contratto, contributo, ecc.) riceve i fondi direttamente dal finanziatore ed è responsabile nei confronti di quest'ultimo rispetto al loro uso.",Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 117
environment,Aid to environment,"For each topic, data collection is based on a marking system with three values: (i) principal objective (score 2); (ii) significant objective (score 1); (iii) not targeted to the policy objective (score 0). Pincipal (primary) policy objectives are those which can be identified as being fundamental in the design and impact of the activity and which are an explicit objective of the activity. They may be selected by answering the question “would the activity have been undertaken without this objective?”. Significant (secondary) policy objectives are those which, although important, are not one of the principal reasons for undertaking the activity. The score not targeted means that the activity has been screened against, but was found not be targeted to, the policy objective. An activity can have more than one principal or significant policy objective. For desertification-related flows, an additional value (score 3) is used to separately identify activities in support of national, sub-regional or regional action programmes",Aiuto all'Ambiente,http://www.oecd.org/investment/stats/dacandcrscodelists.htm
pdgg,Participatori Development/Good Governance (PD/GG),,Sviluppo Partecipativo/Buon Governo,
biodiversity,"Rio Markers (biodiversity, climate change mitigation, climate change adaptation, desertification)",,"4 Marker di Rio (biodiversità, mitigazione dei cambiamenti climatici, adattamento ai cambiamenti climatici, desertificazione)",
gender,Gender equality,,Uguaglianza di genere,
climateMitigation,List of codes used to determine the level of involvement on various policy objectives.,,,
desertification,List of codes used to determine the level of involvement on various policy objectives.,,,
climateAdaptation,List of codes used to determine the level of involvement on various policy objectives.,,,
trade,Aid for trade. Trade development marker identifies trade development within the “building productive capacity” category,,Sviluppo della capacità produttiva e in particolare della capacità di trovare sbocchi commerciali da parte dei Paesi beneficiari,
donorcode,"Donor code. List of donor codes and names for DAC members, multilateral donors, non-DAC donors and private donors.","List of donor codes and names for DAC members, multilateral donors, non-DAC donors and private donors.  Currency codes for a donor’s currency refer to the donor code in question (e.g. Australian dollars use donor code 801 for Australia.  Note: the currency code for the Euro uses the donor code for EU Institutions, i.e. 918).",Codice del donatore (Italia = 6) a cui è associata una valuta nazionale (Italia 918=Euro),http://www.oecd.org/investment/stats/dacandcrscodelists.htm
agencycode,Agency code. List of agency codes and names including agency acronyms.,,"Codici delle agenzie, o gruppi di agenzie, di ogni paese donatore (Art= Artigiancassa/MEF; DGCS= DGCS; CA= Amministrazioni Centrali; LA= Amministrazioni Locali; SACE=SACE Spa; AGEA= Agenzia per le Erogazioni in Agricoltura)",http://www.oecd.org/investment/stats/dacandcrscodelists.htm
aid_t,Type of Aid. Modality used in aid delivery,"The typology identifies the modalities that are used in aid delivery. It classifies transfers from the donor to the first recipient of funds (e.g. the recipient country, a multilateral organisation, or a basket fund). It does not track the end uses of the funds, which is addressed in the sector classification and to some extent through the policy objective markers",Modalità utilizzate nell'erogazione dell'APS.,Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 120 e dettagli http://www.oecd.org/investment/stats/dacandcrscodelists.htm
purposecode,"List of codes, names and descriptions used to identify the sector of destination of a contribution.","The purpose/sector of destination of a bilateral contribution should be selected by answering the question “which specific area of the recipient’s economic or social structure is the transfer intended to foster”. The sector classification does not refer to the type of goods or services provided by the donor. Sector specific education or research activities (e.g. agricultural education) or construction of infrastructure (e.g. agricultural storage) should be reported under the sector to which they are directed, not under education, construction, etc.  Within each sector, supplies, equipment and infrastructure should be allocated to the most specific code available. For example, the construction of a tuberculosis clinic should be coded under “tuberculosis control”, and neither under “infectious disease control” nor “basic health infrastructure”.",Specifico settore della struttura economico-sociale del paese beneficiario che il progetto intende migliorare.,Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph 128-9 e dettagli  http://www.oecd.org/investment/stats/dacandcrscodelists.htm
finance_t,"Type of Finance. List of codes used to distinguish financial instruments, e.g. grants or loans.",,"Strumenti finanziari (doni, crediti agevolati, cancellazione del debito, ecc.)",Converged Statistical Reporting Directives (CRSD)   http://www.oecd.org/dac/stats/documentupload/DCD-DAC(2013)15-FINAL-ENG.pdf  paragraph da 22 a 42 e dettagli http://www.oecd.org/investment/stats/dacandcrscodelists.htm
recipientcode,"Recipient code. Recipient codes and names, grouped by income group and geographical distribution.",,"PVS beneficiario o beneficiari, ognuno catalogabile all'interno di uno specifico gruppo di reddito ed inquadrabile all'interno di una specifica area geografica.",http://www.oecd.org/investment/stats/dacandcrscodelists.htm
